entry_time,exit_time,status,pnl,score,type,year,month,dow,hour,week
2023-03-16 08:00:00,2023-03-16 13:15:00,win,334.38392918620906,6,long,2023,3,Thursday,13,11
2023-03-16 13:30:00,2023-03-16 15:15:00,loss,-95.44333787797503,6,long,2023,3,Thursday,15,11
2023-03-22 08:00:00,2023-03-22 12:30:00,loss,-161.83275442749826,6,long,2023,3,Wednesday,12,12
2023-03-22 14:00:00,2023-03-22 18:00:00,win,324.10868070445315,6,long,2023,3,Wednesday,18,12
2023-03-23 09:00:00,2023-03-23 12:30:00,loss,-147.19344420862674,6,long,2023,3,Thursday,12,12
2023-03-23 13:15:00,2023-03-23 16:15:00,win,172.3489420339325,5,long,2023,3,Thursday,16,12
2023-03-23 18:45:00,2023-03-27 00:00:00,loss,-121.44886229286641,7,long,2023,3,Monday,0,13
2023-03-29 09:15:00,2023-03-29 13:00:00,loss,-115.32738533071334,6,long,2023,3,Wednesday,13,13
2023-03-29 14:00:00,2023-03-29 15:45:00,loss,-86.92965008940928,6,long,2023,3,Wednesday,15,13
2023-03-29 17:30:00,2023-03-29 19:15:00,loss,-68.42318327529912,5,long,2023,3,Wednesday,19,13
2023-03-30 08:00:00,2023-03-30 12:15:00,win,264.8231125138565,6,long,2023,3,Thursday,12,13
2023-03-30 12:30:00,2023-03-30 14:00:00,loss,-61.38855336858398,5,long,2023,3,Thursday,14,13
2023-03-30 14:30:00,2023-03-30 16:30:00,win,137.08041157856837,5,long,2023,3,Thursday,16,13
2023-03-30 17:15:00,2023-04-02 22:00:00,loss,-92.1850955925589,6,long,2023,4,Sunday,22,13
2023-04-12 13:15:00,2023-04-12 13:30:00,loss,-91.25031333969201,7,long,2023,4,Wednesday,13,15
2023-04-12 17:15:00,2023-04-13 07:30:00,win,241.04020302444323,6,long,2023,4,Thursday,7,15
2023-04-13 14:30:00,2023-04-17 00:00:00,loss,-83.81176595312337,7,long,2023,4,Monday,0,16
2023-04-26 08:15:00,2023-04-26 11:30:00,loss,-73.93992728679282,5,long,2023,4,Wednesday,11,17
2023-04-26 13:00:00,2023-04-26 15:00:00,loss,-58.363322492652216,5,long,2023,4,Wednesday,15,17
2023-04-27 10:15:00,2023-04-27 11:45:00,loss,-77.85110292001295,5,long,2023,4,Thursday,11,17
2023-05-11 10:00:00,2023-05-11 11:15:00,win,155.31470765680643,5,long,2023,5,Thursday,11,19
2023-05-11 12:15:00,2023-05-11 13:15:00,loss,-81.2766150971436,6,long,2023,5,Thursday,13,19
2023-05-23 14:30:00,2023-05-24 05:45:00,win,126.65141676332732,5,long,2023,5,Wednesday,5,21
2023-05-24 09:30:00,2023-05-24 12:15:00,win,154.6761196183665,5,long,2023,5,Wednesday,12,21
2023-05-24 12:30:00,2023-05-24 12:45:00,loss,-93.71654745322776,6,long,2023,5,Wednesday,12,21
2023-05-24 12:45:00,2023-05-24 13:00:00,loss,-89.78058566729719,6,long,2023,5,Wednesday,13,21
2023-05-30 12:45:00,2023-05-30 14:00:00,loss,-88.26613974056444,6,long,2023,5,Tuesday,14,22
2023-05-30 14:00:00,2023-06-01 11:00:00,win,140.40543713822845,5,long,2023,6,Thursday,11,22
2023-07-11 08:45:00,2023-07-11 12:15:00,loss,-102.38996727572899,7,long,2023,7,Tuesday,12,28
2023-07-11 14:00:00,2023-07-11 16:00:00,loss,-56.73042927003656,5,long,2023,7,Tuesday,16,28
2023-07-12 11:30:00,2023-07-12 12:30:00,win,200.68544622860503,5,long,2023,7,Wednesday,12,28
2023-07-13 08:00:00,2023-07-13 10:00:00,loss,-98.15053239252833,6,long,2023,7,Thursday,10,28
2023-07-13 13:00:00,2023-07-13 13:45:00,loss,-49.300461803211995,5,long,2023,7,Thursday,13,28
2023-07-13 14:00:00,2023-07-13 15:45:00,loss,-93.49956307471572,7,long,2023,7,Thursday,15,28
2023-07-13 18:00:00,2023-07-17 00:00:00,loss,-74.326891005562,5,long,2023,7,Monday,0,29
2023-07-18 08:00:00,2023-07-18 11:15:00,win,232.8703665697035,6,long,2023,7,Tuesday,11,29
2023-07-18 11:30:00,2023-07-18 12:30:00,win,127.07697695234359,5,long,2023,7,Tuesday,12,29
2023-07-18 13:15:00,2023-07-18 13:30:00,loss,-57.79554615096656,6,long,2023,7,Tuesday,13,29
2023-07-18 13:30:00,2023-07-18 14:15:00,win,139.71471540627488,6,long,2023,7,Tuesday,14,29
2023-07-18 15:45:00,2023-07-19 11:15:00,loss,-66.63342637507745,6,long,2023,7,Wednesday,11,29
2023-07-19 12:30:00,2023-07-19 14:00:00,loss,-59.34622117179292,5,long,2023,7,Wednesday,14,29
2023-07-25 16:15:00,2023-07-26 11:30:00,win,147.2203552549986,5,long,2023,7,Wednesday,11,30
2023-07-26 11:30:00,2023-07-26 13:00:00,loss,-70.12130943594174,5,long,2023,7,Wednesday,13,30
2023-07-26 15:15:00,2023-07-26 17:00:00,loss,-47.74434974420815,5,long,2023,7,Wednesday,17,30
2023-08-22 08:00:00,2023-08-22 12:30:00,loss,-115.60147874944927,6,long,2023,8,Tuesday,12,34
2023-08-24 14:00:00,2023-08-24 14:30:00,loss,-58.40665705347429,5,long,2023,8,Thursday,14,34
2023-08-24 14:30:00,2023-08-24 16:45:00,loss,-78.39046638045289,6,long,2023,8,Thursday,16,34
2023-09-07 12:00:00,2023-09-07 12:30:00,loss,-72.47742483862615,5,long,2023,9,Thursday,12,36
2023-09-07 12:45:00,2023-09-07 13:30:00,loss,-48.70026463895948,5,long,2023,9,Thursday,13,36
2023-09-07 13:30:00,2023-09-07 13:45:00,loss,-47.59142742935075,5,long,2023,9,Thursday,13,36
2023-09-20 09:00:00,2023-09-20 13:30:00,win,284.06233822061415,6,long,2023,9,Wednesday,13,38
2023-09-20 15:30:00,2023-09-20 18:00:00,loss,-70.40907954378844,6,long,2023,9,Wednesday,18,38
2023-09-20 18:15:00,2023-09-20 19:00:00,loss,-74.32534604366317,6,long,2023,9,Wednesday,19,38
