entry_time,exit_time,type,status,pnl
2022-10-18 13:00:00,2022-10-18 15:35:00,long,loss,-115.1579458847338
2022-10-18 16:05:00,2022-10-20 00:00:00,long,loss,-114.00636642588647
2022-10-20 13:05:00,2022-10-20 14:50:00,short,loss,-112.8663027616276
2022-10-20 16:00:00,2022-10-23 22:00:00,short,loss,-111.73763973401132
2022-10-24 13:00:00,2022-10-26 03:25:00,short,loss,-110.6202633366712
2022-10-26 13:00:00,2022-10-28 12:30:00,short,win,219.02812140660896
2022-10-31 13:00:00,2022-11-01 06:55:00,short,loss,-111.70434191737057
2022-11-01 13:00:00,2022-11-01 14:00:00,long,loss,-110.58729849819687
2022-11-01 16:05:00,2022-11-02 18:05:00,long,win,218.96285102642983
2022-11-14 13:00:00,2022-11-16 00:00:00,long,win,223.34210804695843
2022-11-16 13:00:00,2022-11-17 13:05:00,short,win,227.8089502078976
2022-11-17 13:20:00,2022-11-20 23:00:00,long,loss,-116.18256460602777
2022-11-21 13:00:00,2022-11-23 13:30:00,long,loss,-115.0207389599675
2022-11-23 13:30:00,2022-11-24 09:10:00,long,win,227.74106314073563
2022-11-24 13:00:00,2022-11-30 19:40:00,short,loss,-116.1479422017752
2022-12-01 13:00:00,2022-12-06 00:00:00,long,loss,-114.98646277975745
2022-12-06 13:00:00,2022-12-06 18:30:00,long,loss,-113.83659815195986
2022-12-07 13:00:00,2022-12-09 04:05:00,long,win,225.39646434088053
2022-12-12 13:00:00,2022-12-15 00:00:00,short,loss,-114.95219681384906
2022-12-15 13:00:00,2022-12-16 14:00:00,short,loss,-113.80267484571057
2022-12-19 13:00:00,2022-12-20 08:45:00,short,loss,-112.66464809725346
2022-12-20 13:20:00,2022-12-20 14:45:00,short,loss,-111.53800161628092
2022-12-21 13:00:00,2022-12-22 14:20:00,long,loss,-110.4226216001181
2023-01-03 13:00:00,2023-01-05 15:35:00,long,loss,-109.31839538411693
2023-01-05 16:30:00,2023-01-06 02:20:00,short,loss,-108.22521143027576
2023-01-09 13:00:00,2023-01-12 13:35:00,long,win,214.285918631946
2023-01-12 14:10:00,2023-01-13 08:05:00,short,loss,-109.28581850229246
2023-01-16 13:00:00,2023-01-18 14:15:00,short,loss,-108.19296031726954
2023-01-18 14:55:00,2023-01-18 16:00:00,long,loss,-107.11103071409684
2023-01-19 13:00:00,2023-01-19 15:00:00,short,loss,-106.03992040695586
2023-01-19 16:00:00,2023-01-25 01:05:00,long,win,209.9590424057726
2023-01-25 13:00:00,2023-01-25 15:05:00,short,loss,-107.07911162694404
2023-01-25 15:40:00,2023-01-26 16:20:00,long,loss,-106.0083205106746
2023-01-30 13:00:00,2023-01-31 08:30:00,short,win,209.8964746111357
2023-01-31 13:10:00,2023-02-03 13:30:00,long,loss,-107.04720205167919
2023-02-06 13:00:00,2023-02-07 17:45:00,short,loss,-105.9767300311624
2023-02-08 13:00:00,2023-02-10 03:30:00,short,win,209.83392546170154
2023-02-13 13:00:00,2023-02-13 16:55:00,long,loss,-107.0153019854678
2023-02-14 13:00:00,2023-02-14 14:25:00,long,loss,-105.94514896561311
2023-02-14 14:55:00,2023-02-14 16:40:00,long,loss,-104.88569747595699
2023-02-20 13:00:00,2023-02-22 08:35:00,long,loss,-103.83684050119743
2023-02-22 13:05:00,2023-02-24 11:35:00,short,win,205.5969441923709
2023-02-28 13:00:00,2023-02-28 16:05:00,long,win,209.70888307621834
2023-03-01 13:00:00,2023-03-07 15:00:00,long,loss,-106.95153036887136
2023-03-09 13:00:00,2023-03-09 14:00:00,short,loss,-105.88201506518264
2023-03-09 16:00:00,2023-03-10 13:30:00,short,loss,-104.82319491453082
2023-03-16 13:00:00,2023-03-16 15:20:00,long,loss,-103.77496296538551
2023-03-21 13:00:00,2023-03-21 17:25:00,short,win,205.4744266714633
2023-03-23 13:00:00,2023-03-23 13:55:00,short,loss,-104.79195760244627
2023-03-23 14:55:00,2023-03-23 16:15:00,short,loss,-103.7440380264218
2023-03-27 13:05:00,2023-03-28 01:05:00,short,loss,-102.70659764615759
2023-03-28 13:00:00,2023-03-30 16:35:00,long,win,203.359063339392
2023-04-03 13:00:00,2023-04-04 14:00:00,long,win,207.42624460617986
2023-04-05 13:00:00,2023-04-05 14:30:00,long,loss,-105.78738474915174
2023-04-05 15:25:00,2023-04-10 01:00:00,short,win,209.45902180332044
2023-04-10 13:15:00,2023-04-11 08:20:00,short,loss,-106.82410111969342
