entry_time,exit_time,status,pnl,score,type,risk_pct,year,month,dow,hour,week
2022-10-26 12:30:00,2022-10-26 12:55:00,win,194.15732656041575,5,short,0.0077662930624166305,2022,10,Wednesday,12,43
2022-10-26 13:00:00,2022-10-26 13:35:00,loss,-67.76913867776429,5,short,0.00677691386777643,2022,10,Wednesday,13,43
2022-10-27 10:25:00,2022-10-27 11:20:00,loss,-95.94052720831114,5,short,0.009594052720831114,2022,10,Thursday,11,43
2022-10-27 12:05:00,2022-10-27 12:20:00,win,231.9419302515687,5,short,0.009277677210062748,2022,10,Thursday,12,43
2022-10-27 12:25:00,2022-10-27 13:15:00,loss,-48.26441162395452,5,short,0.004826441162395452,2022,10,Thursday,13,43
2022-10-27 18:10:00,2022-10-27 19:30:00,loss,-191.73980877829223,6,short,0.019173980877829223,2022,10,Thursday,19,43
2022-11-01 14:30:00,2022-11-02 02:50:00,loss,-51.96347560421309,5,short,0.005196347560421309,2022,11,Wednesday,2,44
2022-11-02 16:00:00,2022-11-02 17:35:00,loss,-99.64317428263928,5,short,0.009964317428263928,2022,11,Wednesday,17,44
2022-11-16 08:05:00,2022-11-16 09:55:00,win,288.5571488602079,7,long,0.011542285954408317,2022,11,Wednesday,9,46
2022-11-16 09:55:00,2022-11-16 11:35:00,loss,-74.48837559487195,5,long,0.007448837559487196,2022,11,Wednesday,11,46
2022-11-16 11:45:00,2022-11-16 12:30:00,loss,-92.26637663378702,5,long,0.009226637663378702,2022,11,Wednesday,12,46
2022-11-16 12:30:00,2022-11-16 12:40:00,loss,-90.51237835080342,5,long,0.009051237835080342,2022,11,Wednesday,12,46
2022-11-16 15:30:00,2022-11-16 17:00:00,loss,-66.69742731355105,5,long,0.006669742731355104,2022,11,Wednesday,17,46
2022-11-16 17:30:00,2022-11-16 18:00:00,loss,-108.98078185164746,5,long,0.010898078185164747,2022,11,Wednesday,18,46
2022-11-17 09:35:00,2022-11-17 12:25:00,loss,-61.31917447647396,5,short,0.006131917447647396,2022,11,Thursday,12,46
2022-11-17 12:40:00,2022-11-17 13:05:00,win,274.91805389027024,6,short,0.01099672215561081,2022,11,Thursday,13,46
2022-11-17 13:10:00,2022-11-17 13:20:00,loss,-89.32704872316141,6,short,0.00893270487231614,2022,11,Thursday,13,46
2022-11-17 13:30:00,2022-11-20 23:00:00,win,192.23479951184433,6,short,0.007689391980473774,2022,11,Sunday,23,46
2022-11-22 14:30:00,2022-11-22 14:35:00,loss,-69.10284972863678,5,short,0.0069102849728636786,2022,11,Tuesday,14,47
2022-11-22 15:00:00,2022-11-22 18:00:00,win,149.07187898659143,5,short,0.005962875159463657,2022,11,Tuesday,18,47
2022-11-22 18:00:00,2022-11-22 23:20:00,loss,-98.79203842780657,5,short,0.009879203842780657,2022,11,Tuesday,23,47
2022-11-23 09:35:00,2022-11-23 09:55:00,loss,-67.45331609667669,5,short,0.006745331609667669,2022,11,Wednesday,9,47
2022-11-23 10:30:00,2022-11-23 11:25:00,loss,-72.43410243566996,5,short,0.007243410243566996,2022,11,Wednesday,11,47
2022-11-23 12:40:00,2022-11-23 13:30:00,loss,-93.3140757785582,5,short,0.00933140757785582,2022,11,Wednesday,13,47
2022-11-23 13:40:00,2022-11-23 13:50:00,loss,-42.307385507298754,5,short,0.004230738550729875,2022,11,Wednesday,13,47
2022-11-29 14:00:00,2022-11-29 14:30:00,win,166.15366328393264,5,short,0.006646146531357306,2022,11,Tuesday,14,48
