date,wins,losses,pnl
2025-05-21,1,0,163.56211448790006
2025-05-22,0,2,-165.9991899937698
2025-05-23,1,0,163.5133729777827
2025-05-24,0,1,-83.39182021866918
2025-05-26,1,0,165.115804032965
2025-05-27,0,2,-167.57602951305617
2025-05-28,0,2,-164.24126652574637
2025-05-29,1,1,79.27306935449565
2025-05-30,0,2,-162.55039940203847
2025-06-02,1,1,78.45695152002973
2025-06-03,0,2,-160.8769397891865
2025-06-04,0,2,-157.6754886873817
2025-06-05,0,1,-77.65715902638331
2025-06-06,1,2,-2.291041505596368
2025-06-09,0,1,-76.85767702106351
2025-06-10,0,3,-225.99223665505812
2025-06-11,0,2,-146.92006398976156
2025-06-12,0,2,-143.99635471636532
2025-06-13,0,2,-141.13082725750965
2025-06-14,0,1,-69.50870542466593
2025-06-16,1,1,67.4373460030109
2025-06-18,1,0,138.97598366089878
2025-06-19,0,1,-70.87775166705838
2025-06-22,1,1,68.76559466738004
2025-06-23,2,2,139.55950206569293
2025-06-24,0,1,-72.25222511771852
2025-06-27,1,0,143.05940573308268
2025-06-29,1,0,145.92059384774433
2025-07-01,1,1,72.93111280510263
2025-07-03,0,1,-75.14881399040063
2025-07-08,1,0,148.79465170099326
2025-07-09,0,1,-75.88527236750656
2025-07-11,0,2,-149.50157509122468
2025-07-15,0,1,-73.63140389291925
2025-07-16,1,0,145.79017970798012
2025-07-21,0,1,-74.35299165106986
2025-07-22,1,0,147.21892346911832
2025-07-23,0,1,-75.08165096925035
2025-07-24,1,1,72.8442177703667
2025-07-28,1,0,150.11855327452304
2025-07-30,0,2,-152.3553197183134
2025-08-01,1,1,73.53617079336713
2025-08-04,0,1,-75.77227068075729
2025-08-07,0,1,-75.01454797394972
2025-08-11,1,1,72.77911444432601
2025-08-12,0,1,-74.99219363865348
2025-08-17,0,1,-74.24227170226693
2025-08-20,0,2,-146.2646994806361
2025-08-23,1,0,144.0744039808758
2025-08-26,0,1,-73.47794603024666
2025-08-28,0,2,-144.75890147418895
2025-08-29,0,1,-71.2955775552023
2025-08-31,0,1,-70.58262177965027
2025-09-01,0,1,-69.87679556185377
2025-09-02,2,1,207.5064116076632
2025-09-03,0,2,-141.7936525274006
2025-09-04,1,0,139.67031039407573
2025-09-05,1,0,142.46371660195723
2025-09-06,0,2,-144.58642597932638
2025-09-08,0,1,-71.21063120720491
2025-09-09,0,3,-209.38766879103414
2025-09-10,0,1,-68.40464820722252
2025-09-11,1,0,135.4412034503006
2025-09-15,1,0,138.1500275193066
2025-09-16,0,1,-70.45651403484636
2025-09-17,0,3,-207.1702634115482
2025-09-18,0,1,-67.68024626038242
2025-09-19,1,0,134.00688759555717
2025-09-22,0,2,-136.00359022073098
2025-09-23,0,2,-133.29711877533845
2025-09-24,1,0,131.30101116754696
2025-09-26,1,0,133.9270313908979
2025-09-29,0,3,-202.86610472639398
2025-09-30,1,3,-68.22934419672569
2025-10-01,0,2,-130.52774472505217
2025-10-02,1,0,128.5731081457524
2025-10-04,1,0,131.14457030866745
2025-10-06,2,0,270.2102726639784
2025-10-07,0,1,-69.58583358406018
2025-10-08,0,4,-271.45398957810914
2025-10-09,1,0,132.35087070487697
2025-10-10,1,4,-136.2943389875462
2025-10-12,1,1,64.81328065621956
2025-10-13,1,1,65.4484508066505
2025-10-14,2,2,132.82737173623198
2025-10-15,0,2,-136.8461144861896
2025-10-16,1,2,-2.00847323059088
2025-10-17,4,0,555.4142583535158
2025-10-20,1,2,-2.1733881545575144
2025-10-21,1,5,-218.6604399386795
2025-10-22,3,3,209.973362087382
2025-10-23,0,2,-144.91952865834412
2025-10-24,1,2,-2.1269657161475948
2025-10-26,0,1,-71.35341880416671
2025-10-27,2,1,211.89139789452867
2025-10-28,1,4,-146.9150739795802
2025-10-29,2,0,288.0101773353091
2025-10-30,0,6,-434.04026672325233
2025-10-31,1,0,139.65869392279018
2025-11-03,0,1,-71.22593390062299
2025-11-04,0,2,-140.32221237761735
2025-11-05,1,0,138.22090487568119
2025-11-06,0,1,-70.4926614865974
2025-11-10,1,2,-2.0796744991775853
2025-11-11,0,2,-138.8362068722119
2025-11-12,0,1,-68.37857605801753
2025-11-13,2,1,203.0572929761931
2025-11-14,0,4,-274.74575153509284
2025-11-17,1,2,-1.9959415902130786
2025-11-18,1,1,65.61878737002728
2025-11-19,1,4,-136.52693166200672
2025-11-20,1,1,64.9238875559659
2025-11-21,1,1,65.56014165401439
2025-11-23,0,1,-67.55370514512623
2025-11-24,1,1,65.54060473180145
