entry_time,exit_time,type,status,pnl
2022-07-12 18:30:00,2022-07-14 13:00:00,short,win,222.49693127336525
2022-07-14 14:30:00,2022-07-14 15:45:00,short,loss,-113.47343494941627
2022-07-14 16:20:00,2022-07-18 03:15:00,short,loss,-112.33870059992212
2022-07-19 08:00:00,2022-07-20 17:55:00,long,loss,-111.21531359392289
2022-07-21 08:00:00,2022-07-21 12:40:00,short,loss,-110.10316045798366
2022-07-21 16:50:00,2022-07-22 11:35:00,long,win,218.00425770680766
2022-07-27 08:00:00,2022-07-28 01:35:00,long,win,222.3643428609438
2022-07-28 08:00:00,2022-08-03 03:25:00,long,win,226.81162971816266
2022-08-03 08:00:00,2022-08-03 14:10:00,long,loss,-115.67393115626295
2022-08-03 16:10:00,2022-08-04 09:45:00,long,win,229.03438368940064
2022-08-04 12:45:00,2022-08-04 13:30:00,long,loss,-116.80753568159433
2022-08-04 13:45:00,2022-08-08 00:25:00,long,loss,-115.6394603247784
2022-08-09 08:05:00,2022-08-15 10:10:00,long,loss,-114.48306572153061
2022-08-16 08:00:00,2022-08-19 10:00:00,short,win,226.6764701286306
2022-08-31 08:00:00,2022-09-02 00:00:00,short,win,231.2099995312032
2022-09-06 08:00:00,2022-09-07 00:25:00,short,win,235.8341995218273
2022-09-07 08:10:00,2022-09-08 11:35:00,long,win,240.55088351226382
2022-09-08 12:15:00,2022-09-12 12:00:00,short,loss,-122.68095059125454
2022-09-13 08:00:00,2022-09-13 12:30:00,long,loss,-121.454141085342
2022-09-13 13:45:00,2022-09-15 04:55:00,short,win,240.47919934897718
2022-09-15 08:00:00,2022-09-15 14:45:00,long,loss,-122.64439166797837
2022-09-15 17:25:00,2022-09-16 07:45:00,long,loss,-121.41794775129858
2022-09-22 09:00:00,2022-09-23 09:35:00,long,loss,-120.20376827378558
2022-09-27 08:00:00,2022-09-29 00:00:00,short,loss,-119.00173059104773
2022-09-29 08:00:00,2022-10-03 01:25:00,long,win,235.6234265702745
2022-10-04 08:00:00,2022-10-04 15:30:00,long,win,240.33589510168
2022-10-04 16:55:00,2022-10-05 14:00:00,short,win,245.1426130037136
2022-10-05 14:35:00,2022-10-07 12:45:00,long,loss,-125.02273263189394
2022-10-11 08:00:00,2022-10-11 16:20:00,long,win,247.54501061115
2022-10-11 17:25:00,2022-10-17 00:00:00,short,win,252.49591082337298
2022-10-18 08:00:00,2022-10-18 15:20:00,long,loss,-128.77291451992022
2022-10-18 16:05:00,2022-10-20 00:00:00,long,loss,-127.485185374721
2022-10-20 08:00:00,2022-10-23 22:00:00,long,win,252.4206670419476
2022-10-26 08:10:00,2022-10-27 07:00:00,long,loss,-128.73454019139328
2022-10-27 08:00:00,2022-10-28 07:10:00,long,loss,-127.44719478947934
2022-11-01 08:00:00,2022-11-02 18:35:00,long,win,252.3454456831691
2022-11-02 18:45:00,2022-11-04 00:00:00,short,win,257.3923545968325
2022-11-16 08:05:00,2022-11-17 03:00:00,long,loss,-131.27010084438456
2022-11-17 08:00:00,2022-11-17 13:05:00,long,loss,-129.95739983594072
2022-11-17 13:20:00,2022-11-20 23:00:00,long,loss,-128.6578258375813
2022-11-22 08:00:00,2022-11-23 04:00:00,long,loss,-127.3712475792055
2022-11-23 08:00:00,2022-11-23 13:30:00,long,loss,-126.09753510341345
2022-11-23 13:30:00,2022-11-24 09:10:00,long,win,249.6731195047586
2022-11-24 09:35:00,2022-11-30 19:40:00,short,loss,-127.33329094742689
2022-12-01 08:00:00,2022-12-01 13:25:00,short,loss,-126.05995803795263
2022-12-01 15:30:00,2022-12-06 00:00:00,long,loss,-124.79935845757309
2022-12-06 08:00:00,2022-12-09 01:10:00,long,win,247.10272974599474
2022-12-15 08:00:00,2022-12-20 08:40:00,short,loss,-126.02239217045731
2022-12-20 11:10:00,2022-12-22 15:20:00,long,loss,-124.76216824875274
2023-01-03 08:05:00,2023-01-05 00:00:00,short,loss,-123.51454656626521
2023-01-05 08:00:00,2023-01-06 15:15:00,short,loss,-122.27940110060257
2023-01-10 08:00:00,2023-01-11 05:35:00,short,loss,-121.05660708959654
2023-01-11 08:00:00,2023-01-12 13:30:00,short,loss,-119.84604101870057
2023-01-12 13:40:00,2023-01-13 17:55:00,long,win,237.29516121702716
2023-01-18 08:30:00,2023-01-25 00:00:00,long,win,242.0410644413677
2023-01-25 08:00:00,2023-01-25 17:30:00,short,loss,-123.44094286509753
2023-01-26 08:00:00,2023-01-31 06:00:00,short,win,244.4130668728931
2023-01-31 08:00:00,2023-01-31 14:50:00,short,loss,-124.6506641051755
2023-01-31 18:40:00,2023-02-03 00:00:00,long,loss,-123.40415746412374
2023-02-07 08:00:00,2023-02-07 18:45:00,long,loss,-122.17011588948252
2023-02-08 08:00:00,2023-02-08 14:50:00,long,loss,-120.94841473058769
2023-02-08 16:00:00,2023-02-09 17:40:00,long,loss,-119.7389305832818
2023-02-14 08:00:00,2023-02-14 13:30:00,short,loss,-118.54154127744897
2023-02-14 13:55:00,2023-02-14 14:25:00,long,loss,-117.35612586467448
2023-02-14 14:55:00,2023-02-14 16:40:00,long,loss,-116.18256460602774
2023-02-14 18:00:00,2023-02-19 23:00:00,long,loss,-115.02073895996746
2023-02-22 08:00:00,2023-02-22 19:10:00,long,loss,-113.87053157036779
2023-02-28 08:00:00,2023-02-28 15:00:00,short,loss,-112.7318262546641
2023-02-28 18:55:00,2023-03-01 11:30:00,short,loss,-111.60450799211748
2023-03-01 13:15:00,2023-03-03 09:05:00,short,loss,-110.4884629121963
2023-03-07 08:00:00,2023-03-07 12:30:00,long,loss,-109.38357828307433
2023-03-07 17:25:00,2023-03-09 14:45:00,short,loss,-108.28974250024359
2023-03-09 16:00:00,2023-03-10 13:30:00,short,loss,-107.20684507524116
2023-03-16 08:00:00,2023-03-17 11:25:00,long,win,212.2695532489775
2023-03-21 08:30:00,2023-03-21 16:30:00,short,win,216.51494431395705
2023-03-23 08:00:00,2023-03-23 16:10:00,short,loss,-110.42262160011809
2023-03-28 08:00:00,2023-03-28 12:30:00,short,loss,-109.3183953841169
2023-03-28 13:10:00,2023-03-30 16:35:00,long,win,216.45042286055147
2023-03-30 17:55:00,2023-03-31 17:25:00,long,loss,-110.38971565888124
2023-04-04 08:00:00,2023-04-04 14:05:00,long,win,218.5716370045849
2023-04-04 17:25:00,2023-04-10 00:00:00,long,loss,-111.47153487233828
2023-04-11 08:00:00,2023-04-13 06:40:00,long,win,220.7136390472298
2023-04-13 09:50:00,2023-04-13 14:00:00,long,win,225.1279118281744
2023-04-13 15:00:00,2023-04-16 22:00:00,short,win,229.6304700647379
2023-04-19 08:00:00,2023-04-20 10:25:00,short,loss,-117.11153973301633
2023-04-20 11:50:00,2023-04-21 06:25:00,long,loss,-115.94042433568616
2023-04-25 08:00:00,2023-04-25 18:10:00,short,loss,-114.78102009232931
2023-04-25 18:40:00,2023-04-26 16:15:00,long,loss,-113.63320989140603
2023-04-26 17:50:00,2023-05-05 00:00:00,short,loss,-112.49687779249196
2023-05-10 08:00:00,2023-05-12 00:00:00,long,loss,-111.37190901456705
2023-05-16 08:00:00,2023-05-16 15:05:00,long,loss,-110.25818992442137
2023-05-16 18:30:00,2023-05-17 13:50:00,long,loss,-109.15560802517716
2023-05-17 14:15:00,2023-05-18 08:15:00,long,loss,-108.06405194492538
2023-05-18 09:00:00,2023-05-18 13:05:00,long,loss,-106.98341142547612
2023-05-18 16:15:00,2023-05-19 06:20:00,short,loss,-105.91357731122136
2023-05-23 08:00:00,2023-05-23 13:30:00,short,loss,-104.85444153810914
2023-05-23 14:40:00,2023-05-24 16:25:00,long,loss,-103.80589712272806
2023-05-24 17:20:00,2023-05-25 12:30:00,long,loss,-102.76783815150078
2023-05-25 13:25:00,2023-05-30 12:10:00,short,loss,-101.74015976998577
2023-05-30 12:55:00,2023-05-31 13:40:00,short,loss,-100.72275817228591
2023-05-31 14:00:00,2023-05-31 14:40:00,short,loss,-99.71553059056305
2023-05-31 15:55:00,2023-06-02 02:10:00,short,loss,-98.71837528465741
2023-07-04 08:00:00,2023-07-05 18:15:00,long,loss,-97.73119153181084
2023-07-06 08:00:00,2023-07-07 14:30:00,short,loss,-96.75387961649272
2023-07-11 08:00:00,2023-07-12 13:30:00,long,win,191.57268164065556
2023-07-12 15:15:00,2023-07-19 00:00:00,long,win,195.40413527346868
2023-07-19 08:00:00,2023-07-24 00:00:00,long,loss,-99.65610898946903
2023-07-25 08:00:00,2023-07-31 13:45:00,short,loss,-98.65954789957433
2023-08-01 08:00:00,2023-08-02 15:25:00,short,win,195.34590484115716
2023-08-02 16:00:00,2023-08-04 12:30:00,long,loss,-99.62641146899016
2023-08-08 08:00:00,2023-08-14 12:15:00,short,win,197.26029470860053
2023-08-16 08:00:00,2023-08-23 13:45:00,short,loss,-100.60275030138627
2023-08-23 17:25:00,2023-08-25 14:30:00,long,loss,-99.5967227983724
2023-08-29 08:00:00,2023-08-29 14:15:00,short,loss,-98.60075557038867
2023-08-29 16:20:00,2023-09-07 00:00:00,long,loss,-97.61474801468478
2023-09-07 08:00:00,2023-09-08 13:55:00,short,loss,-96.63860053453793
2023-09-12 08:00:00,2023-09-18 03:15:00,short,loss,-95.67221452919256
2023-09-19 08:00:00,2023-09-21 08:55:00,long,loss,-94.71549238390062
2023-09-21 09:50:00,2023-09-26 13:30:00,short,win,187.53667492012323
2023-09-26 14:15:00,2023-10-02 00:00:00,long,loss,-95.64370420926285
2023-10-03 08:00:00,2023-10-05 12:35:00,long,loss,-94.68726716717023
2023-10-05 13:25:00,2023-10-08 22:00:00,long,win,187.48078899099707
2023-10-11 08:00:00,2023-10-13 11:05:00,long,win,191.23040477081702
2023-10-17 08:00:00,2023-10-18 01:45:00,long,win,195.05501286623334
2023-10-18 08:00:00,2023-10-18 13:45:00,long,win,198.956113123558
2023-10-18 14:25:00,2023-10-20 00:00:00,short,loss,-101.46761769301457
2023-11-01 08:00:00,2023-11-01 12:30:00,short,loss,-100.45294151608442
2023-11-01 13:15:00,2023-11-03 12:30:00,short,loss,-99.44841210092358
2023-11-07 08:00:00,2023-11-08 19:30:00,short,win,196.9078559598287
2023-11-09 08:00:00,2023-11-09 15:10:00,short,loss,-100.42300653951264
2023-11-09 17:25:00,2023-11-10 11:20:00,long,loss,-99.41877647411751
2023-11-14 08:00:00,2023-11-14 14:35:00,long,win,196.84917741875267
2023-11-14 15:50:00,2023-11-15 10:20:00,short,loss,-100.39308048356386
2023-11-15 11:10:00,2023-11-21 00:25:00,short,loss,-99.38914967872823
2023-11-21 08:00:00,2023-11-27 01:25:00,long,win,196.79051636388192
2023-11-28 08:00:00,2023-11-28 14:15:00,short,loss,-100.36316334557978
2023-11-28 18:45:00,2023-12-01 16:45:00,long,win,198.71906342424793
