entry_time,exit_time,status,pnl,score,type
2021-05-20 09:05:00,2021-05-20 09:30:00,win,389.08496303004966,5,short
2021-05-20 09:30:00,2021-05-20 11:00:00,loss,-158.74666491626027,5,short
2021-05-20 12:00:00,2021-05-20 12:15:00,loss,-157.47669159693018,5,long
2021-05-20 13:00:00,2021-05-20 13:50:00,win,390.5421951603869,5,long
2021-05-20 14:15:00,2021-05-20 18:30:00,loss,-239.0118234381567,6,long
2021-05-25 09:00:00,2021-05-25 11:20:00,loss,-157.4291210379326,5,long
2021-05-25 12:00:00,2021-05-25 13:05:00,loss,-156.16968806962913,5,long
2021-05-25 13:45:00,2021-05-25 14:00:00,win,580.9512396190203,6,long
2021-05-25 14:30:00,2021-05-26 01:00:00,win,398.9198512050606,5,long
2021-05-26 08:00:00,2021-05-26 08:40:00,loss,-244.13894893749705,6,long
2021-05-26 09:30:00,2021-05-26 11:30:00,loss,-160.80618770016474,5,long
2021-05-26 12:00:00,2021-05-26 12:15:00,loss,-159.51973819856343,5,long
2021-05-26 12:20:00,2021-05-26 13:00:00,loss,-296.70671304932796,7,long
2021-05-26 13:15:00,2021-05-26 13:30:00,loss,-155.8699265885803,5,short
2021-05-26 13:35:00,2021-05-26 17:40:00,win,386.5574179396792,5,short
2021-05-26 18:20:00,2021-05-26 19:55:00,loss,-157.7154265193891,5,short
2021-07-06 08:00:00,2021-07-06 08:05:00,loss,-234.68055466085093,6,long
2021-07-06 08:10:00,2021-07-06 08:25:00,loss,-154.57625866994715,5,long
2021-07-06 09:00:00,2021-07-06 12:30:00,win,575.0236822522035,6,long
2021-07-06 12:40:00,2021-07-06 12:50:00,loss,-296.13719635988474,7,long
2021-07-06 13:30:00,2021-07-06 13:40:00,loss,-155.57074048772614,5,long
2021-07-06 13:45:00,2021-07-06 14:35:00,loss,-154.32617456382434,5,long
2021-07-06 15:45:00,2021-07-06 16:05:00,win,382.72891291828444,5,short
2021-07-06 16:50:00,2021-07-06 17:05:00,loss,-156.15339647066003,5,short
